TF,target,importance
ATF1,TEFM,1
ATF1,UTP6,1
ATF1,SNHG30,1
ATF1,SYNRG,1
ATF1,IKZF3,1
ATF1,ZPBP2,1
ATF1,KLHL10,1
ATF1,KRTAP4-12,1
ATF1,NBR2,1
ATF1,CCDC200,1
ATF1,LINC00910,1
ATF1,ARL4D,1
ATF1,CALCOCO2,1
ATF1,ATP5MC1,1
ATF1,ANKRD40,1
ATF1,LUC7L3,1
ATF1,ICAM2,1
ATF1,POLG2,1
ATF1,LINC01978,1
ATF1,TSPAN10,1
ATF1,ARL16,1
ATF1,METTL4,1
ATF1,MYL12A,1
ATF1,MYOM1,1
ATF1,FAM210A,1
ATF1,TMEM241,1
ATF1,LINC02958,1
ATF1,TTC39C,1
ATF1,CABYR,1
ATF1,PSMA8,1
ATF1,LINC01543,1
ATF1,RPRD1A,1
ATF1,ELP2,1
ATF1,ZNF397,1
ATF1,ATP8B1-AS1,1
ATF1,CYB5A,1
ATF1,CNDP2,1
ATF1,ZNF407-AS1,1
ATF1,LSM7,1
ATF1,DIRAS1,1
ATF1,ZNF57,1
ATF1,MICOS13,1
ATF1,ARHGEF18-AS1,1
ATF1,FCER2,1
ATF1,PCP2,1
ATF1,ZNF559,1
ATF1,ZNF559-ZNF177,1
ATF1,ZNF266,1
ATF1,ZNF426,1
ATF1,OR7D2,1
ATF1,ZNF846,1
ATF1,DOCK6-AS1,1
ATF1,SWSAP1,1
ATF1,RGL3,1
ATF1,ACP5,1
ATF1,ZNF441,1
ATF1,ZNF439,1
ATF1,ZNF763,1
ATF1,PRDX2,1
ATF1,SLC1A6,1
ATF1,H3C11,1
ATF1,MAST3,1
ATF1,KXD1,1
ATF1,ZNF506,1
ATF1,SLC25A42,1
ATF1,IGFLR1,1
ATF1,PSENEN,1
ATF1,LIN37,1
ATF1,DMKN,1
ATF1,GMFG,1
ATF1,RPS19,1
ATF1,LINC01480,1
ATF1,LNROP,1
ATF1,POU2F2-AS2,1
ATF1,CNFN,1
ATF1,ZNF404,1
ATF1,TRAPPC6A,1
ATF1,BLOC1S3,1
ATF1,GEMIN7,1
ATF1,SNRPD2,1
ATF1,ZC3H4,1
ATF1,CARD8-AS1,1
ATF1,SLC6A16,1
ATF1,CD37,1
ATF1,TEAD2,1
ATF1,DKKL1,1
ATF1,KLK4,1
ATF1,ZNF347,1
ATF1,ZNF677,1
ATF1,ZNF761,1
ATF1,NLRP9,1
ATF1,ZNF582-DT,1
ATF1,ZNF583,1
ATF1,ZNF667-AS1,1
ATF1,ZNF470-DT,1
ATF1,AURKC,1
ATF1,ZNF460-AS1,1
ATF1,ZNF547,1
ATF1,TRAPPC2B,1
ATF1,ZNF548,1
ATF1,VN1R1,1
ATF1,ZNF419,1
ATF1,ZNF549,1
ATF1,ZNF382,1
ATF1,ZNF345,1
ATF1,ZNF814,1
ATF1,ZNF606-AS1,1
ATF1,ZNF154,1
ATF1,ZNF606,1
ATF1,ZNF544,1
ATF1,ZNF8-DT,1
ATF1,ZNF132,1
ATF1,SNTG2,1
ATF1,GDF7,1
ATF1,PTRHD1,1
ATF1,RASGRP3,1
ATF1,SLC3A1,1
ATF1,PREPL,1
ATF1,PPP1R21,1
ATF1,LINC01800,1
ATF1,LINC02245,1
ATF1,C2orf42,1
ATF1,STAMBP,1
ATF1,ZNF2,1
ATF1,ANKRD36,1
ATF1,NPHP1,1
ATF1,PAX8-AS1,1
ATF1,LINC02966,1
ATF1,ACTR3-AS1,1
ATF1,MAP3K2-DT,1
ATF1,ACMSD,1
ATF1,KLHL41,1
ATF1,PHOSPHO2,1
ATF1,CCDC141,1
ATF1,METTL21A,1
ATF1,SLC23A3,1
ATF1,CHRND,1
ATF1,HDAC4-AS1,1
ATF1,SPEF1,1
ATF1,KAT14,1
ATF1,PET117,1
ATF1,KIZ-AS1,1
ATF1,BCL2L1-AS1,1
ATF1,KIF3B,1
ATF1,ITCH-IT1,1
ATF1,CPNE1,1
ATF1,NFS1,1
ATF1,PKIG,1
ATF1,CD40,1
ATF1,PARD6B,1
ATF1,ADNP,1
ATF1,KCNG1,1
ATF1,PRELID3B,1
ATF1,EDN3,1
ATF1,NELFCD,1
ATF1,C21orf91-OT1,1
ATF1,N6AMT1,1
ATF1,RWDD2B,1
ATF1,USP16,1
ATF1,IFNAR1,1
ATF1,TMEM50B,1
ATF1,BRWD1-IT1,1
ATF1,NDUFV3,1
ATF1,PKNOX1,1
ATF1,GATD3,1
ATF1,DGCR5,1
ATF1,MRPL40,1
ATF1,GNAZ,1
ATF1,UQCR10,1
ATF1,APOL2,1
ATF1,ENTHD1,1
ATF1,TNRC6B,1
ATF1,RBX1,1
ATF1,TNFRSF13C,1
ATF1,WBP2NL,1
ATF1,PRR34-AS1,1
ATF1,PKDREJ,1
ATF1,CRBN,1
ATF1,PLCL2-AS1,1
ATF1,ENTPD3-AS1,1
ATF1,FLVCR1-DT,1
ATF1,ITPR1,1
ATF1,CCDC174,1
ATF1,SS18L2,1
ATF1,ZNF502,1
ATF1,TMEM42,1
ATF1,TCTA,1
ATF1,TWF2-DT,1
ATF1,ARL6IP5,1
ATF1,UBA3,1
ATF1,FOXP1-AS1,1
ATF1,NIT2,1
ATF1,SENP7,1
ATF1,DZIP3,1
ATF1,CD47,1
ATF1,IFT57,1
ATF1,POGLUT1,1
ATF1,POPDC2,1
ATF1,PARP15,1
ATF1,PARP14,1
ATF1,FAM162A,1
ATF1,SEC22A,1
ATF1,CEP63,1
ATF1,RASA2-IT1,1
ATF1,ARHGEF26,1
ATF1,CLDN11,1
